ts	cid	nid	symbol	buyer	seller	volume	rate	amount
2024-11-25T10:46:00.002865	2024112501000001	131	NABIL	56	74	10	569.1	5691
2024-11-25T10:46:00.012527	2024112501000002	134	HBL	56	19	10	257	2570
2024-11-25T10:46:00.015159	2024112501000003	135	SBI	93	10	10	468.1	4681
2024-11-25T10:46:00.019797	2024112501000004	139	NICA	56	48	10	435.5	4355
2024-11-25T10:46:00.022646	2024112501000005	140	MBL	56	45	10	264.9	2649
2024-11-25T10:46:00.025414	2024112501000006	141	LSL	56	58	10	252.9	2529
2024-11-25T10:46:00.027936	2024112501000007	142	KBL	56	58	10	222.3	2223
2024-11-25T10:46:00.02798	2024112501000008	142	KBL	93	58	10	222.3	2223
2024-11-25T10:46:00.030521	2024112501000009	145	SBL	56	29	10	330.4	3304
2024-11-25T10:46:00.03267	2024112501000010	171	SANIMA	56	94	10	308	3080
2024-11-25T10:46:00.037521	2024112501000011	198	NLO	18	48	10	242.1	2421
2024-11-25T10:46:00.043754	2024112501000012	238	NMB	56	55	10	259.9	2599
2024-11-25T10:46:00.046351	2024112501000013	255	PRVU	56	57	10	237.9	2379
2024-11-25T10:46:00.049103	2024112501000014	341	GBIME	56	19	10	241.5	2415
2024-11-25T10:46:00.052279	2024112501000015	348	CZBIL	56	19	10	230	2300
2024-11-25T10:46:00.05694	2024112501000016	397	ADBL	56	42	10	357	3570
2024-11-25T10:46:00.061529	2024112501000017	517	NBL	56	19	10	284.4	2844
2024-11-25T10:46:00.131612	2024112501000018	8025	SPC	1	20	10	539	5390
2024-11-25T10:46:00.149194	2024112501000019	8066	RFPL	62	69	10	800	8000
2024-11-25T10:46:00.149244	2024112501000020	8066	RFPL	62	58	10	800	8000
2024-11-25T10:46:00.157641	2024112501000021	8099	UHEWA	49	45	10	668.1	6681
2024-11-25T10:46:00.162245	2024112501000022	8104	USHEC	65	25	10	599.7	5997
2024-11-25T10:46:00.16859	2024112501000023	8111	HIDCLP	56	55	10	178.3	1783
2024-11-25T10:46:00.183844	2024112501000024	9135	BHPL	34	32	10	769	7690
2024-11-25T10:46:00.193008	2024112501000025	9147	SPL	34	88	10	934	9340
